2020-06-19 17:05:14,044 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-06-19 17:05:14,078 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-06-19 17:05:14,079 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-06-19 17:05:14,080 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-06-19 17:05:14,088 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-06-19 17:05:14,089 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-06-19 17:05:14,107 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-06-19 17:11:10,986 INFO  SwAddin.cs: 271 - Assembly export called for file 2020 Master File_software.SLDASM
2020-06-19 17:11:10,990 INFO  SwAddin.cs: 276 - Save is required
2020-06-19 17:11:10,991 INFO  SwAddin.cs: 290 - Saving assembly
2020-06-19 17:11:11,780 INFO  SwAddin.cs: 293 - Opening property manager
2020-06-19 17:11:11,797 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 2020 Master File_software.SLDASM
2020-06-19 17:11:11,805 INFO  ExportHelperExtension.cs: 1142 - Found 44 in 2020 Master File_software.SLDASM
2020-06-19 17:11:11,806 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 2020 Master File_software.SLDASM
2020-06-19 17:11:11,806 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-06-19 17:11:11,808 INFO  ExportHelperExtension.cs: 1167 - 6 components to check
2020-06-19 17:11:11,809 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 2020_ARM-ASSEMBLY-1
2020-06-19 17:11:11,811 INFO  ExportHelperExtension.cs: 1142 - Found 302 in 2020_ARM-ASSEMBLY-1
2020-06-19 17:11:11,815 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 2020_ARM-ASSEMBLY-1
